indicator_data_id,indicator_id,name,measure,year_description,data_valuemessage
130728,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,2.8
130729,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,2.8
130730,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,4.7
130731,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,1.9
130732,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,1.6
130727,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,2.9
130685,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,2.9
130686,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,2.8
130687,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,2.7
130688,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,2.7
130689,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,3.0
130690,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,3.0
130691,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,2.8
130692,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,3.7
130693,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,3.7
130694,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,2.5
130695,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,2.3
130696,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,3.2
130697,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,2.5
130698,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,2.3
130699,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,2.4
130700,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,2.8
130701,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,2.4
130702,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,2.8
130703,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,4.1
130704,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,3.9
130705,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,4.2
130706,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,3.9
130707,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,4.5
130708,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,4.9
130709,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,5.3
130710,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,4.7
130711,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,5.0
130712,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,6.3
130713,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,2.7
130714,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,2.2
130715,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,1.9
130716,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,1.9
130717,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,2.0
130718,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,1.7
130719,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,1.8
130720,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,1.8
130721,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,1.8
130722,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,1.4
130723,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,2.5
130724,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,1.3
130725,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,1.6
130726,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,2005,1.1
130776,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,3.3
130777,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,3.0
130778,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,4.3
130779,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,2.7
130780,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,2.3
130775,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,3.2
130733,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,3.2
130734,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,3.2
130735,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,3.2
130736,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,3.2
130737,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,3.4
130738,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,3.6
130739,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,3.5
130740,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,3.5
130741,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,3.2
130742,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,3.0
130743,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,2.8
130744,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,3.2
130745,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,2.9
130746,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,2.8
130747,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,2.8
130748,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,2.7
130749,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,2.5
130750,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,3.1
130751,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,3.9
130752,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,4.2
130753,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,4.2
130754,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,4.0
130755,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,4.5
130756,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,4.6
130757,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,5.3
130758,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,4.0
130759,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,4.0
130760,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,4.2
130761,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,3.6
130762,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,3.4
130763,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,2.7
130764,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,2.5
130765,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,3.0
130766,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,2.3
130767,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,2.4
130768,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,2.4
130769,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,2.4
130770,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,2.0
130771,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,2.4
130772,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,2.3
130773,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,2.3
130774,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,2005,2.2
130536,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,42.7
130537,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,22.8
130538,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,161.1
130539,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,16.1
130540,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,2.7
130535,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,29.4
130493,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,42.5
130494,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,33.8
130495,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,71.0
130496,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,24.9
130497,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,62.5
130498,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,78.0
130499,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,36.8
130500,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,18.9
130501,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,32.0
130502,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,31.7
130503,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,14.7
130504,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,13.4
130505,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,34.8
130506,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,33.5
130507,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,6.7
130508,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,26.5
130509,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,23.7
130510,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,27.8
130511,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,115.3
130512,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,82.1
130513,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,55.8
130514,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,247.9
130515,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,269.8
130516,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,204.8
130517,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,284.7
130518,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,132.5
130519,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,126.1
130520,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,118.7
130521,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,30.6
130522,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,24.6
130523,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,18.7
130524,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,10.4
130525,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,23.6
130526,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,15.3
130527,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,14.5
130528,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,13.2
130529,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,8.1
130530,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,6.1
130531,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,2.8
130532,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,4.7
130533,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,2.1
130534,642,Boiler Emissions- Total NOx Emissions,Per km2,2013,2.0
130488,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,1.2
130489,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.1
130490,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,5.9
130491,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.3
130492,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.0
130487,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.7
130445,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,2.0
130446,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.3
130447,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,3.0
130448,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.5
130449,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,2.0
130450,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,2.4
130451,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.4
130452,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.1
130453,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.1
130454,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.1
130455,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.0
130456,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.0
130457,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.2
130458,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.3
130459,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.0
130460,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.2
130461,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.1
130462,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.1
130463,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,5.8
130464,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,2.0
130465,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,1.3
130466,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,11.4
130467,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,10.8
130468,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,7.7
130469,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,9.0
130470,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,4.1
130471,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,3.0
130472,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,1.7
130473,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.8
130474,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.3
130475,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.6
130476,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.2
130477,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.3
130478,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.5
130479,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.1
130480,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.1
130481,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.0
130482,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.0
130483,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.0
130484,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.0
130485,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.0
130486,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,2013,0.0
130440,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,10.3
130441,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,0.8
130442,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,50.6
130443,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,2.2
130444,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,0.1
130439,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,6.1
130397,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,17.6
130398,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,2.2
130399,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,24.5
130400,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,4.4
130401,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,16.9
130402,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,19.7
130403,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,3.3
130404,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,0.4
130405,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,0.8
130406,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,0.9
130407,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,0.1
130408,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,0.1
130409,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,1.5
130410,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,2.3
130411,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,0.0
130412,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,1.7
130413,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,0.9
130414,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,0.3
130415,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,51.0
130416,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,15.7
130417,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,11.6
130418,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,99.7
130419,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,95.0
130420,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,67.4
130421,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,78.8
130422,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,32.9
130423,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,24.9
130424,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,13.7
130425,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,6.7
130426,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,2.3
130427,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,5.1
130428,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,1.6
130429,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,2.7
130430,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,4.3
130431,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,0.8
130432,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,0.5
130433,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,0.3
130434,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,0.0
130435,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,0.0
130436,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,0.4
130437,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,0.0
130438,640,Boiler Emissions- Total SO2 Emissions,Per km2,2013,0.0
131694,663,Neighborhood Air Quality Concentrations- Elemental Carbon (EC),Average Concentration,Annual Average 2009-2010,1.3
131695,663,Neighborhood Air Quality Concentrations- Elemental Carbon (EC),Average Concentration,Annual Average 2009-2010,1.1
