license_serial_number,license_class_code,premises_name,doing_business_as,license_certificate_number,license_original_issue_date,license_effective_date,license_expiration_date
1050302,122,F & E SUPERMARKET INC,EMERALD FOOD STORE,903270,10/27/1981,07/30/2018,06/30/2021
1050787,301,PROSPERO WINERY INC,326 MARBLE AVENUE,914332,04/07/1999,04/01/2019,03/31/2022
1157364,252,QUAY STREET BAR CORP,THE QUAYS,900382,01/25/2005,01/01/2019,12/31/2020
1158441,252,SARACON IRISH BAR INC,MCBRIDES,901129,02/16/2005,02/01/2019,01/31/2021
1167601,252,DEACON BRODY MANAGEMENT INC,JEKYLL & HYDE,882869,10/31/2005,10/17/2017,09/30/2019
1172077,341,78 SECOND AVE SANDWICH SHOP INC,BISTRO NOMAD,838836,02/16/2006,02/01/2019,01/31/2021
1174032,122,NEW PARADISE INC,NEW PARADISE,900208,06/28/2006,06/01/2018,05/31/2021
1199001,341,KARABINIS DINER CORP,OASIS DINER,838828,02/21/2008,02/01/2019,01/31/2021
1215062,252,ESKINA 214 CORP,CAFE TABACO & RON,907616,02/19/2009,07/09/2019,01/31/2021
1239342,252,228 BLEECKER LLC,ARIA,904018,06/30/2010,04/04/2019,05/31/2020
1240637,548,B C M FISH LTD,MATTHEW'S,902734,08/20/2010,05/01/2019,10/31/2019
1249385,341,AREPERA GUAYOYO RESTAURANT LLC,AREPERA GUACUCO RESTAURANT,835957,01/21/2011,01/01/2019,12/31/2020
1250217,252,H3C INC,LEFT COAST KITCHEN,901212,02/04/2011,02/01/2019,01/31/2021
1250578,252,SHP ENTERPRISES INC,ENVY NEW YORK,902306,02/04/2011,02/21/2019,01/31/2021
1251868,252,LOTUS 17 INC,LAUT,907649,07/19/2011,07/10/2019,06/30/2021
1256472,301,RED HOOK WINERY LLC,RED HOOK WINERY,920034,09/15/2011,09/01/2019,08/31/2022
1256972,252,KOURELI RESTAURANT GROUP INC,NERAI,901134,02/28/2013,02/01/2019,01/31/2021
1259696,341,BOBWHITE COUNTER LLC,BOBWHITE LUNCH AND SUPPER COUNTER,838521,01/24/2012,01/01/2019,12/31/2020
1262180,341,HU HOLDINGS LLC,HU KITCHEN,833812,09/24/2012,09/01/2017,08/31/2019
1263536,252,THREE BROTHERS BAKING INC,DOCKLANDS MAKO,892975,07/02/2012,07/01/2018,06/30/2020
1267552,341,MONSIGNOR'S RESTAURANT CORP,FREEDOM MEXICAN RESTAURANT,835104,02/05/2013,03/13/2018,01/31/2020
1271258,322,CONNOISSEUR ENCOUNTERS CO INC,THE WINE CELLAR AT RYE RIDGE,884238,08/20/2013,11/01/2016,10/31/2019
1281158,252,TBJK CORP,MIDORI JAPANESE,900392,02/02/2015,01/01/2019,12/31/2020
1283410,252,MACPER LLC,D.B.A,903837,04/16/2015,04/01/2019,03/31/2021
1285369,252,CHICKIES BILLIARDS CORP,STATUS Q,906890,07/02/2015,07/01/2019,06/30/2021
1287393,252,MAK SIN SAP INC,LAN LARB,908030,08/26/2015,08/01/2019,07/31/2021
