indicator_data_id,geo_type_name,geo_entity_id,geo_entity_name
130728,Borough,1,Bronx
130729,Borough,2,Brooklyn
130730,Borough,3,Manhattan
130731,Borough,4,Queens
130732,Borough,5,Staten Island
130727,Citywide,1,New York City
130685,UHF42,101,Kingsbridge - Riverdale
130686,UHF42,102,Northeast Bronx
130687,UHF42,103,Fordham - Bronx Pk
130688,UHF42,104,Pelham - Throgs Neck
130689,UHF42,105,Crotona -Tremont
130690,UHF42,106,High Bridge - Morrisania
130691,UHF42,107,Hunts Point - Mott Haven
130692,UHF42,201,Greenpoint
130693,UHF42,202,Downtown - Heights - Slope
130694,UHF42,203,Bedford Stuyvesant - Crown Heights
130695,UHF42,204,East New York
130696,UHF42,205,Sunset Park
130697,UHF42,206,Borough Park
130698,UHF42,207,East Flatbush - Flatbush
130699,UHF42,208,Canarsie - Flatlands
130700,UHF42,209,Bensonhurst - Bay Ridge
130701,UHF42,210,Coney Island - Sheepshead Bay
130702,UHF42,211,Williamsburg - Bushwick
130703,UHF42,301,Washington Heights
130704,UHF42,302,Central Harlem - Morningside Heights
130705,UHF42,303,East Harlem
130706,UHF42,304,Upper West Side
130707,UHF42,305,Upper East Side
130708,UHF42,306,Chelsea - Clinton
130709,UHF42,307,Gramercy Park - Murray Hill
130710,UHF42,308,Greenwich Village - SoHo
130711,UHF42,309,Union Square - Lower East Side
130712,UHF42,310,Lower Manhattan
130713,UHF42,401,Long Island City - Astoria
130714,UHF42,402,West Queens
130715,UHF42,403,Flushing - Clearview
130716,UHF42,404,Bayside - Little Neck
130717,UHF42,405,Ridgewood - Forest Hills
130718,UHF42,406,Fresh Meadows
130719,UHF42,407,Southwest Queens
130720,UHF42,408,Jamaica
130721,UHF42,409,Southeast Queens
130722,UHF42,410,Rockaways
130723,UHF42,501,Port Richmond
130724,UHF42,502,Stapleton - St. George
130725,UHF42,503,Willowbrook
130726,UHF42,504,South Beach - Tottenville
130776,Borough,1,Bronx
130777,Borough,2,Brooklyn
130778,Borough,3,Manhattan
130779,Borough,4,Queens
130780,Borough,5,Staten Island
130775,Citywide,1,New York City
130733,UHF42,101,Kingsbridge - Riverdale
130734,UHF42,102,Northeast Bronx
130735,UHF42,103,Fordham - Bronx Pk
130736,UHF42,104,Pelham - Throgs Neck
130737,UHF42,105,Crotona -Tremont
130738,UHF42,106,High Bridge - Morrisania
130739,UHF42,107,Hunts Point - Mott Haven
130740,UHF42,201,Greenpoint
130741,UHF42,202,Downtown - Heights - Slope
130742,UHF42,203,Bedford Stuyvesant - Crown Heights
130743,UHF42,204,East New York
130744,UHF42,205,Sunset Park
130745,UHF42,206,Borough Park
130746,UHF42,207,East Flatbush - Flatbush
130747,UHF42,208,Canarsie - Flatlands
130748,UHF42,209,Bensonhurst - Bay Ridge
130749,UHF42,210,Coney Island - Sheepshead Bay
130750,UHF42,211,Williamsburg - Bushwick
130751,UHF42,301,Washington Heights
130752,UHF42,302,Central Harlem - Morningside Heights
130753,UHF42,303,East Harlem
130754,UHF42,304,Upper West Side
130755,UHF42,305,Upper East Side
130756,UHF42,306,Chelsea - Clinton
130757,UHF42,307,Gramercy Park - Murray Hill
130758,UHF42,308,Greenwich Village - SoHo
130759,UHF42,309,Union Square - Lower East Side
130760,UHF42,310,Lower Manhattan
130761,UHF42,401,Long Island City - Astoria
130762,UHF42,402,West Queens
130763,UHF42,403,Flushing - Clearview
130764,UHF42,404,Bayside - Little Neck
130765,UHF42,405,Ridgewood - Forest Hills
130766,UHF42,406,Fresh Meadows
130767,UHF42,407,Southwest Queens
130768,UHF42,408,Jamaica
130769,UHF42,409,Southeast Queens
130770,UHF42,410,Rockaways
130771,UHF42,501,Port Richmond
130772,UHF42,502,Stapleton - St. George
130773,UHF42,503,Willowbrook
130774,UHF42,504,South Beach - Tottenville
130536,Borough,1,Bronx
130537,Borough,2,Brooklyn
130538,Borough,3,Manhattan
130539,Borough,4,Queens
130540,Borough,5,Staten Island
130535,Citywide,1,New York City
130493,UHF42,101,Kingsbridge - Riverdale
130494,UHF42,102,Northeast Bronx
130495,UHF42,103,Fordham - Bronx Pk
130496,UHF42,104,Pelham - Throgs Neck
130497,UHF42,105,Crotona -Tremont
130498,UHF42,106,High Bridge - Morrisania
130499,UHF42,107,Hunts Point - Mott Haven
130500,UHF42,201,Greenpoint
130501,UHF42,202,Downtown - Heights - Slope
130502,UHF42,203,Bedford Stuyvesant - Crown Heights
130503,UHF42,204,East New York
130504,UHF42,205,Sunset Park
130505,UHF42,206,Borough Park
130506,UHF42,207,East Flatbush - Flatbush
130507,UHF42,208,Canarsie - Flatlands
130508,UHF42,209,Bensonhurst - Bay Ridge
130509,UHF42,210,Coney Island - Sheepshead Bay
130510,UHF42,211,Williamsburg - Bushwick
130511,UHF42,301,Washington Heights
130512,UHF42,302,Central Harlem - Morningside Heights
130513,UHF42,303,East Harlem
130514,UHF42,304,Upper West Side
